"occurence_count"	"ingredients"
"100"	1	"100"
"145"	1	"145"
"abalon"	1	"abalon"
"abbamel"	1	"abbamel"
"absinth"	1	"absinth"
"abura"	1	"abura"
"accompani"	1	"accompani"
"acini"	1	"acini"
"acke"	1	"acke"
"acorn"	1	"acorn"
"adzuki"	1	"adzuki"
"aioli"	1	"aioli"
"ajinomoto"	1	"ajinomoto"
"ajwain"	1	"ajwain"
"aka"	1	"aka"
"alexia"	1	"alexia"
"alfalfa"	1	"alfalfa"
"almondmilk"	1	"almondmilk"
"alo"	1	"alo"
"alphabet"	1	"alphabet"
"alum"	1	"alum"
"amaranth"	1	"amaranth"
"amarena"	1	"amarena"
"amba"	1	"amba"
"amberjack"	1	"amberjack"
"amchur"	1	"amchur"
"america"	1	"america"
"ammonium"	1	"ammonium"
"amontillado"	1	"amontillado"
"ampalaya"	1	"ampalaya"
"anaheim"	1	"anaheim"
"anasazi"	1	"anasazi"
"anejo"	1	"anejo"
"angl"	1	"angl"
"anglais"	1	"anglais"
"angostura"	1	"angostura"
"angus"	1	"angus"
"anisett"	1	"anisett"
"aonori"	1	"aonori"
"ãpice"	1	"ãpice"
"applewood"	1	"applewood"
"aquavit"	1	"aquavit"
"arak"	1	"arak"
"aram"	1	"aram"
"arctic"	1	"arctic"
"arepa"	1	"arepa"
"argo"	1	"argo"
"armagnac"	1	"armagnac"
"arrabbiata"	1	"arrabbiata"
"arrow"	1	"arrow"
"artifici"	1	"artifici"
"asada"	1	"asada"
"asakusa"	1	"asakusa"
"ascorb"	1	"ascorb"
"asiago"	1	"asiago"
"aspic"	1	"aspic"
"assam"	1	"assam"
"assort"	1	"assort"
"asti"	1	"asti"
"atlant"	1	"atlant"
"atta"	1	"atta"
"awas"	1	"awas"
"azteca"	1	"azteca"
"azuki"	1	"azuki"
"bacardi"	1	"bacardi"
"bai"	1	"bai"
"bailey"	1	"bailey"
"balsamico"	1	"balsamico"
"bãnãdictin"	1	"bãnãdictin"
"banger"	1	"banger"
"baobab"	1	"baobab"
"barberri"	1	"barberri"
"bark"	1	"bark"
"barolo"	1	"barolo"
"barramundi"	1	"barramundi"
"basa"	1	"basa"
"bãtard"	1	"bãtard"
"baton"	1	"baton"
"bawang"	1	"bawang"
"bayonn"	1	"bayonn"
"beansprout"	1	"beansprout"
"bear"	1	"bear"
"beaten"	1	"beaten"
"beater"	1	"beater"
"beau"	1	"beau"
"beaujolai"	1	"beaujolai"
"bechamel"	1	"bechamel"
"bee"	1	"bee"
"beech"	1	"beech"
"beefsteak"	1	"beefsteak"
"beetroot"	1	"beetroot"
